Date Time Milliseconds
2025/1/10 15:27:38 741
2025/1/10 15:27:39 1275
2025/1/10 15:27:39 1967
2025/1/10 15:27:40 2540
2025/1/10 15:27:41 3194
2025/1/10 15:27:43 Stopped
2025/1/10 15:27:45 Stopped
2025/1/10 15:27:47 Stopped
2025/1/10 15:27:47 9657
2025/1/10 15:27:49 11277
2025/1/10 15:27:50 12616
2025/1/10 15:27:51 13188
2025/1/10 15:27:51 13761
2025/1/10 15:27:52 14212
2025/1/10 15:27:52 14463
2025/1/10 15:27:52 14713
2025/1/10 15:27:52 14887
2025/1/10 15:27:53 15097
2025/1/10 15:27:53 15382
2025/1/10 15:27:53 15793
2025/1/10 15:27:55 Stopped
2025/1/10 15:27:57 Stopped
2025/1/10 15:27:58 20298
2025/1/10 15:27:59 21150
2025/1/10 15:27:59 21763
2025/1/10 15:28:0 22376
2025/1/10 15:28:1 23031
2025/1/10 15:28:2 24047
2025/1/10 15:28:2 24941
2025/1/10 15:28:3 25673
2025/1/10 15:28:4 26125
2025/1/10 15:28:4 26456
2025/1/10 15:28:4 26746
2025/1/10 15:28:4 26997
2025/1/10 15:28:5 27248
2025/1/10 15:28:5 27499
2025/1/10 15:28:5 27755
2025/1/10 15:28:6 28006
2025/1/10 15:28:6 28257
2025/1/10 15:28:6 28467
2025/1/10 15:28:6 28677
2025/1/10 15:28:6 28887
2025/1/10 15:28:7 29058
2025/1/10 15:28:7 29309
2025/1/10 15:28:7 29520
2025/1/10 15:28:7 29772
2025/1/10 15:28:8 30023
2025/1/10 15:28:8 30273
2025/1/10 15:28:8 30524
2025/1/10 15:28:8 30734
2025/1/10 15:28:8 30945
2025/1/10 15:28:9 31155
2025/1/10 15:28:9 31366
2025/1/10 15:28:9 31567
2025/1/10 15:28:9 31779
2025/1/10 15:28:9 31949
2025/1/10 15:28:10 32082
2025/1/10 15:28:10 32252
2025/1/10 15:28:10 32382
2025/1/10 15:28:10 32552
2025/1/10 15:28:10 32723
2025/1/10 15:28:10 32853
2025/1/10 15:28:11 33023
2025/1/10 15:28:11 33153
2025/1/10 15:28:11 33285
2025/1/10 15:28:11 33416
2025/1/10 15:28:11 33666
2025/1/10 15:28:11 33917
2025/1/10 15:28:12 34046
2025/1/10 15:28:12 34136
2025/1/10 15:28:12 34266
2025/1/10 15:28:12 34396
2025/1/10 15:28:12 34528
2025/1/10 15:28:12 34698
2025/1/10 15:28:12 34909
2025/1/10 15:28:13 35362
2025/1/10 15:28:14 36422
2025/1/10 15:28:15 37680
2025/1/10 15:28:16 38091
2025/1/10 15:28:16 38503
2025/1/10 15:28:16 38995
2025/1/10 15:28:17 39406
2025/1/10 15:28:17 39697
2025/1/10 15:28:17 39950
2025/1/10 15:28:18 40242
2025/1/10 15:28:18 40573
2025/1/10 15:28:18 40990
2025/1/10 15:28:19 41321
2025/1/10 15:28:19 41652
2025/1/10 15:28:19 41945
2025/1/10 15:28:20 42275
2025/1/10 15:28:20 42687
2025/1/10 15:28:21 43260
2025/1/10 15:28:23 Stopped
2025/1/10 15:28:23 45979
2025/1/10 15:28:25 Stopped
2025/1/10 15:28:28 Stopped
2025/1/10 15:28:30 Stopped
2025/1/10 15:28:32 Stopped
2025/1/10 15:28:34 Stopped
2025/1/10 15:28:36 Stopped
2025/1/10 15:28:38 Stopped
2025/1/10 15:28:40 Stopped
2025/1/13 9:41:21 685
2025/1/13 9:41:22 1017
2025/1/13 9:41:22 1268
2025/1/13 9:41:22 1479
2025/1/13 9:41:22 1689
2025/1/13 9:41:22 1862
2025/1/13 9:41:23 2033
2025/1/13 9:41:23 2204
2025/1/13 9:41:23 2334
2025/1/13 9:41:23 2505
2025/1/13 9:41:23 2635
2025/1/13 9:41:23 2766
2025/1/13 9:41:23 2859
2025/1/13 9:41:24 3230
2025/1/13 9:41:24 3360
2025/1/13 9:41:24 3491
2025/1/13 9:41:24 3621
2025/1/13 9:41:24 3743
2025/1/13 9:41:24 3835
2025/1/13 9:41:25 4006
2025/1/13 9:41:25 4136
2025/1/13 9:41:25 4266
2025/1/13 9:41:25 4437
2025/1/13 9:41:25 4567
2025/1/13 9:41:25 4699
2025/1/13 9:41:25 4910
2025/1/13 9:41:26 5040
2025/1/13 9:41:26 5291
2025/1/13 9:41:26 5421
2025/1/13 9:41:26 5552
2025/1/13 9:41:26 5682
2025/1/13 9:41:26 5813
2025/1/13 9:41:26 5946
2025/1/13 9:41:27 6117
2025/1/13 9:41:27 6247
2025/1/13 9:41:27 6530
2025/1/13 9:41:27 6660
2025/1/13 9:41:27 6953
2025/1/13 9:41:28 7044
2025/1/13 9:41:28 7174
2025/1/13 9:41:28 7304
2025/1/13 9:41:28 7434
2025/1/13 9:41:28 7605
2025/1/13 9:41:28 7737
2025/1/13 9:41:28 7908
2025/1/13 9:41:29 8038
2025/1/13 9:41:29 8249
2025/1/13 9:41:29 8460
2025/1/13 9:41:30 9277
2025/1/13 9:41:30 9608
2025/1/13 9:41:30 9818
2025/1/13 9:41:30 9989
2025/1/13 9:41:31 10193
2025/1/13 9:41:31 10404
2025/1/13 9:41:31 10615
2025/1/13 9:41:31 10867
2025/1/13 9:41:32 11160
2025/1/13 9:41:32 11413
2025/1/13 9:41:32 11623
2025/1/13 9:41:32 11914
2025/1/13 9:41:33 12326
2025/1/13 9:41:34 13022
2025/1/13 9:41:36 Stopped
2025/1/13 9:41:38 Stopped
2025/1/13 9:41:40 Stopped
2025/1/13 9:41:42 Stopped
2025/1/13 9:41:44 Stopped
2025/1/13 9:41:44 23458
2025/1/13 9:41:44 23951
2025/1/13 9:41:45 24524
2025/1/13 9:41:46 25249
2025/1/13 9:41:47 26104
2025/1/13 9:41:48 27002
2025/1/13 9:41:48 27736
2025/1/13 9:41:49 28309
2025/1/13 9:41:49 28763
2025/1/13 9:41:50 29216
2025/1/13 9:41:50 29628
2025/1/13 9:41:51 30040
2025/1/13 9:41:51 30331
2025/1/13 9:41:51 30705
2025/1/13 9:41:52 31197
2025/1/13 9:41:52 31610
2025/1/13 9:41:53 32061
2025/1/13 9:41:53 32434
2025/1/13 9:41:54 33007
2025/1/13 9:41:56 Stopped
2025/1/13 9:41:56 35880
2025/1/13 9:41:57 36212
2025/1/13 9:41:57 36584
2025/1/13 9:41:57 36915
2025/1/13 9:41:58 37166
2025/1/13 9:41:58 37339
2025/1/13 9:41:58 37509
2025/1/13 9:41:58 37641
2025/1/13 9:41:58 37772
2025/1/13 9:41:58 37982
2025/1/13 9:41:59 38112
2025/1/13 9:41:59 38244
2025/1/13 9:41:59 38615
2025/1/13 9:42:0 39228
2025/1/13 9:42:0 39438
2025/1/13 9:42:0 39608
2025/1/13 9:42:0 39698
2025/1/13 9:42:0 39788
2025/1/13 9:42:0 39989
2025/1/13 9:42:1 40200
2025/1/13 9:42:1 40330
2025/1/13 9:42:1 40501
2025/1/13 9:42:1 40712
2025/1/13 9:42:2 41447
2025/1/13 9:42:3 42020
2025/1/13 9:42:4 42999
2025/1/13 9:42:6 Stopped
2025/1/13 9:42:8 Stopped
2025/1/13 9:42:10 Stopped
2025/1/13 9:42:12 Stopped
2025/1/13 9:42:14 Stopped
2025/1/13 9:42:15 54111
2025/1/13 9:42:15 54642
2025/1/13 9:42:16 55013
2025/1/13 9:42:16 55305
2025/1/13 9:42:16 55628
2025/1/13 9:42:17 56000
2025/1/13 9:42:17 56331
2025/1/13 9:42:17 56702
2025/1/13 9:42:17 56993
2025/1/13 9:42:18 57284
2025/1/13 9:42:18 57575
2025/1/13 9:42:18 57986
2025/1/13 9:42:19 58438
2025/1/13 9:42:19 58972
2025/1/13 9:42:20 59549
2025/1/13 9:42:21 60042
2025/1/13 9:42:21 60494
2025/1/13 9:42:21 60948
2025/1/13 9:42:22 61520
2025/1/13 9:42:23 62093
2025/1/13 9:42:23 62625
2025/1/13 9:42:24 63157
2025/1/13 9:42:24 63559
2025/1/13 9:42:24 63890
2025/1/13 9:42:25 64220
2025/1/13 9:42:25 64511
2025/1/13 9:42:25 64802
2025/1/13 9:42:26 65053
2025/1/13 9:42:26 65344
2025/1/13 9:42:26 65595
2025/1/13 9:42:26 65845
2025/1/13 9:42:27 66137
2025/1/13 9:42:28 67194
2025/1/13 9:42:28 67567
2025/1/13 9:42:28 67780
2025/1/13 9:42:28 67991
2025/1/13 9:42:29 68203
2025/1/13 9:42:29 68333
2025/1/13 9:42:29 68704
2025/1/13 9:42:29 68905
2025/1/13 9:42:30 69115
